net_type,system,activation,steps_ahead,Nodes_prop,Nodes_tot,Edges_prop,Edges_tot,Triangles_prop,Triangles_tot,Squares_prop,Squares_tot
lorenz,rossler,linear,89,0.0925925925925925,5,0.2222222222222222,12,0.2592592592592592,14,0.4259259259259259,23
lorenz,rossler,linear,93,0.0869565217391304,6,0.1884057971014492,13,0.2753623188405797,19,0.4492753623188406,31
lorenz,rossler,linear,97,0.1153846153846153,6,0.173076923076923,9,0.3269230769230769,17,0.3846153846153846,20
lorenz,lorenz,tanh,1,0.7449664429530202,222,0.0268456375838926,8,0.1778523489932885,53,0.0503355704697986,15
lorenz,lorenz,tanh,2,0.3537735849056603,75,0.0896226415094339,19,0.3396226415094339,72,0.2169811320754717,46
lorenz,lorenz,tanh,3,0.2333333333333333,42,0.1055555555555555,19,0.3611111111111111,65,0.3,54
lorenz,lorenz,tanh,4,0.487012987012987,150,0.0681818181818181,21,0.2564935064935065,79,0.1883116883116883,58
lorenz,lorenz,tanh,5,0.2217391304347826,51,0.0695652173913043,16,0.4739130434782608,109,0.2347826086956521,54
lorenz,lorenz,tanh,6,0.1486486486486486,33,0.0855855855855855,19,0.4414414414414414,98,0.3243243243243243,72
lorenz,lorenz,tanh,7,0.0634146341463414,13,0.1121951219512195,23,0.4682926829268293,96,0.3560975609756097,73
lorenz,lorenz,tanh,8,0.0582010582010582,11,0.1164021164021164,22,0.455026455026455,86,0.3703703703703703,70
lorenz,lorenz,tanh,9,0.051063829787234,12,0.1106382978723404,26,0.4425531914893617,104,0.3957446808510638,93
lorenz,lorenz,tanh,10,0.0543478260869565,10,0.108695652173913,20,0.4239130434782608,78,0.4130434782608695,76
lorenz,lorenz,tanh,11,0.0588235294117647,10,0.1058823529411764,18,0.4058823529411764,69,0.4294117647058823,73
lorenz,lorenz,tanh,12,0.0602409638554216,10,0.1144578313253012,19,0.4096385542168674,68,0.4156626506024096,69
lorenz,lorenz,tanh,13,0.0545454545454545,9,0.109090909090909,18,0.4,66,0.4363636363636363,72
lorenz,lorenz,tanh,14,0.0972222222222222,7,0.1388888888888889,10,0.4166666666666667,30,0.3472222222222222,25
lorenz,lorenz,tanh,15,0.0588235294117647,6,0.1470588235294117,15,0.392156862745098,40,0.4019607843137255,41
lorenz,lorenz,tanh,16,0.0853658536585365,7,0.1463414634146341,12,0.3780487804878049,31,0.3902439024390244,32
lorenz,lorenz,tanh,17,0.0769230769230769,7,0.1428571428571428,13,0.3956043956043956,36,0.3846153846153846,35
lorenz,lorenz,tanh,18,0.0769230769230769,5,0.1384615384615384,9,0.4461538461538462,29,0.3384615384615385,22
lorenz,lorenz,tanh,19,0.1052631578947368,6,0.1228070175438596,7,0.4035087719298245,23,0.3684210526315789,21
lorenz,lorenz,tanh,20,0.0648148148148148,7,0.1388888888888889,15,0.4166666666666667,45,0.3796296296296296,41
lorenz,lorenz,tanh,21,0.08,6,0.2,15,0.3866666666666666,29,0.3333333333333333,25
lorenz,lorenz,tanh,22,0.0833333333333333,5,0.1333333333333333,8,0.4166666666666667,25,0.3666666666666666,22
lorenz,lorenz,tanh,23,0.0961538461538461,5,0.0961538461538461,5,0.5,26,0.3076923076923077,16
lorenz,lorenz,tanh,24,0.0618556701030927,6,0.1443298969072164,14,0.3814432989690721,37,0.4123711340206185,40
lorenz,lorenz,tanh,25,0.1351351351351351,5,0.1351351351351351,5,0.5135135135135135,19,0.2162162162162162,8
lorenz,lorenz,linear,1,0.4318181818181818,38,0.0568181818181818,5,0.3977272727272727,35,0.1136363636363636,10
lorenz,lorenz,linear,2,0.4015151515151515,53,0.0378787878787878,5,0.3863636363636363,51,0.1742424242424242,23
lorenz,lorenz,linear,3,0.1860465116279069,24,0.0775193798449612,10,0.5503875968992248,71,0.1860465116279069,24
lorenz,lorenz,linear,4,0.2868852459016393,35,0.0655737704918032,8,0.4262295081967213,52,0.221311475409836,27
lorenz,lorenz,linear,5,0.1588785046728972,17,0.1401869158878504,15,0.3831775700934579,41,0.3177570093457944,34
lorenz,lorenz,linear,6,0.0972222222222222,14,0.0972222222222222,14,0.5208333333333334,75,0.2847222222222222,41
lorenz,lorenz,linear,7,0.0701754385964912,8,0.1403508771929824,16,0.4122807017543859,47,0.3771929824561403,43
lorenz,lorenz,linear,8,0.0689655172413793,10,0.1172413793103448,17,0.4827586206896552,70,0.3310344827586207,48
lorenz,lorenz,linear,9,0.059322033898305,7,0.1694915254237288,20,0.4067796610169492,48,0.3644067796610169,43
lorenz,lorenz,linear,10,0.0707964601769911,8,0.1504424778761062,17,0.3982300884955752,45,0.3805309734513274,43
lorenz,lorenz,linear,11,0.0614035087719298,7,0.1578947368421052,18,0.4385964912280701,50,0.3421052631578947,39
lorenz,lorenz,linear,12,0.0795454545454545,7,0.1590909090909091,14,0.4090909090909091,36,0.3522727272727273,31
lorenz,lorenz,linear,13,0.0864197530864197,7,0.1604938271604938,13,0.4074074074074074,33,0.345679012345679,28
lorenz,lorenz,linear,14,0.0761904761904762,8,0.1619047619047619,17,0.4095238095238095,43,0.3523809523809524,37
lorenz,lorenz,linear,15,0.109375,7,0.171875,11,0.359375,23,0.359375,23
lorenz,lorenz,linear,16,0.1176470588235294,6,0.196078431372549,10,0.3725490196078431,19,0.3137254901960784,16
lorenz,lorenz,linear,17,0.1063829787234042,5,0.1489361702127659,7,0.4042553191489361,19,0.3404255319148936,16
lorenz,lorenz,linear,18,0.1224489795918367,6,0.1836734693877551,9,0.3877551020408163,19,0.3061224489795918,15
lorenz,lorenz,linear,19,0.1666666666666666,6,0.1666666666666666,6,0.3333333333333333,12,0.3333333333333333,12
lorenz,lorenz,linear,20,0.1463414634146341,6,0.1707317073170731,7,0.3170731707317073,13,0.3658536585365853,15
lorenz,lorenz,linear,21,0.12,6,0.18,9,0.34,17,0.36,18
lorenz,lorenz,linear,22,0.1016949152542373,6,0.1864406779661017,11,0.3559322033898305,21,0.3559322033898305,21
lorenz,lorenz,linear,23,0.0933333333333333,7,0.16,12,0.3866666666666666,29,0.36,27
lorenz,lorenz,linear,24,0.1351351351351351,5,0.1891891891891892,7,0.3513513513513513,13,0.3243243243243243,12
lorenz,lorenz,linear,25,0.1,4,0.2,8,0.35,14,0.35,14
lorenz,rossler,tanh,1,0.4776119402985074,96,0.0597014925373134,12,0.4527363184079602,91,0.0099502487562189,2
lorenz,rossler,tanh,5,0.072,9,0.128,16,0.344,43,0.456,57
lorenz,rossler,tanh,9,0.10625,17,0.0875,14,0.38125,61,0.425,68
lorenz,rossler,tanh,13,0.0394736842105263,6,0.125,19,0.3421052631578947,52,0.4934210526315789,75
lorenz,rossler,tanh,17,0.0440251572327044,7,0.1132075471698113,18,0.3459119496855345,55,0.4968553459119497,79
lorenz,rossler,tanh,21,0.0519480519480519,8,0.1038961038961039,16,0.3246753246753247,50,0.5194805194805194,80
lorenz,rossler,tanh,25,0.0444444444444444,6,0.1259259259259259,17,0.3259259259259259,44,0.5037037037037037,68
lorenz,rossler,tanh,29,0.047945205479452,7,0.1232876712328767,18,0.3493150684931507,51,0.4794520547945205,70
lorenz,rossler,tanh,33,0.0507246376811594,7,0.1014492753623188,14,0.3478260869565217,48,0.5,69
lorenz,rossler,tanh,37,0.0472972972972973,7,0.1283783783783783,19,0.3378378378378378,50,0.4864864864864865,72
lorenz,rossler,tanh,41,0.0514705882352941,7,0.1176470588235294,16,0.3676470588235294,50,0.4632352941176471,63
